          libro1          libro2          libro3          libro4          libro5          libro6
CANSANCIO          0          0          1          0          0          0          
CANTAR          1          0          0          0          0          0          
CANTIDAD          0          0          0          1          0          0          
CAPITAL          0          0          1          0          0          0          
CAPITANES          0          0          0          0          1          0          
CAPITáN          0          0          0          1          0          0          
CAPTURADO          0          0          0          1          0          0          
CAPTURADOS          1          1          0          0          0          0          
CAPíTULOS          0          0          1          0          0          0          
CARA          0          0          0          0          1          0          
CARADHRAS          0          1          0          0          0          0          
CARGADO          0          0          0          0          0          1          
CARGO          0          0          0          0          0          1          
CASA          1          0          1          0          1          0          
CASI          1          0          0          0          0          1          
CASOS          0          0          0          0          1          0          
CASó          0          0          0          0          0          1          
CAYENDO          0          0          0          0          1          0          
CAZADORES          0          0          1          0          0          0          
CAíA          0          1          0          0          0          0          
CELEBORN          0          1          0          0          0          0          
CELEBRACIóN          1          1          0          0          0          0          
CELOSAMENTE          0          0          1          0          0          0          
CENA          0          0          0          0          1          0          
CERCA          1          1          0          0          1          0          
CERCANO          0          1          0          0          0          0          
CERRADO          1          0          0          0          0          1          
CIENTOS          0          0          0          0          1          0          
CIRITH          0          0          0          1          0          1          
CIUDAD          0          1          1          0          1          0          
CIéNAGA          0          0          0          1          0          0          
CLIMA          0          1          0          0          0          0          
COBIJO          0          1          0          0          0          0          
CODICIA          0          0          0          0          0          1          
COGIó          0          1          0          0          0          0          
COMARCA          1          0          0          0          0          1          
COMBATIRLES          1          0          0          0          0          0          
COMBINADAS          0          0          1          0          0          0          
COMENTAR          0          0          0          1          0          0          
COMENZARON          0          1          0          0          0          0          
COMENZó          0          0          0          0          1          0          
COMIDA          0          0          0          1          0          0          
COMIENZA          1          0          0          1          1          1          
COMIENZO          0          0          0          0          1          0          
COMITIVA          0          0          1          0          0          1          
COMO          1          1          1          0          1          1          
COMPAñíA          0          0          0          1          1          1          
COMPLETO          0          0          1          0          0          0          
COMUNICADO          0          0          1          0          0          0          
COMUNIDAD          0          1          0          0          0          0          
CON          1          1          1          1          1          1          
CONCILIO          0          1          0          0          0          0          
CONDICIONES          0          0          0          0          1          0          
CONDUCIDAS          0          0          0          0          0          1          
CONDUJERON          0          1          0          0          0          0          
CONFLUYEN          0          0          1          0          0          0          
CONGéNERES          0          0          1          0          0          0          
CONOCIDO          0          0          0          0          1          0          
CONOCIó          0          0          0          0          0          1          
CONSEJO          0          1          0          1          1          0          
CONSIGUEN          0          0          1          0          1          0          
CONSIGUIENDO          0          0          0          1          0          0          
CONSIGUIERON          0          1          0          0          0          0          
CONSUMIENDO          0          0          0          0          0          1          
CONTINUAR          0          0          0          1          0          0          
CONTINUARA          0          0          0          0          0          1          
CONTINúA          0          0          0          0          0          1          
CONTINúEN          0          0          0          1          0          0          
CONTRA          0          1          0          1          1          1          
CONTRAATACAR          0          0          0          0          0          1          
CONTRADICCIONES          0          0          0          1          0          0          
CONTáRSELO          0          1          0          0          0          0          
CONTó          0          1          0          0          0          0          
CONVENCER          0          1          0          0          0          0          
CONVENCIéNDOLE          1          0          0          0          0          0          
CONVERTIDO          0          0          1          0          0          0          
CONVINCENTES          0          0          0          1          0          0          
CONVIRTIó          0          0          0          0          0          1          
CONVOCA          0          0          1          0          0          0          
CONVOCAN          0          0          0          0          1          0          
CORONACIóN          0          0          0          0          0          1          
CORRIENTE          1          0          0          0          0          0          
CORSARIOS          0          0          0          0          1          0          
COSA          0          0          1          0          0          0          
COTA          0          0          0          0          0          1          
CREó          0          1          0          0          0          0          
CRIATURA          1          0          0          1          0          1          
CRINBLANCA          0          0          0          0          1          0          
CRUZANDO          0          1          0          0          0          0          
CRUZARLAS          0          1          0          0          0          0          
CUAL          0          1          0          0          1          1          
CUALES          0          0          1          0          0          0          
CUALQUIER          0          0          0          0          1          0          
CUANDO          1          0          1          1          1          0          
CUANTO          0          1          0          0          0          0          
CUANTOS          0          1          0          0          0          0          
CUATRO          0          0          1          0          0          1          
CUBRIó          0          0          0          0          1          0          
CUENTA          1          1          0          0          1          1          
CUENTAN          0          0          1          0          0          0          
CUERPO          0          0          0          1          1          1          
CUESTA          0          0          0          0          0          1          
CULMINA          0          0          1          0          0          0          
CUMPLEAñOS          1          0          0          0          0          0          
CUMPLIR          0          0          0          0          1          0          
CURACIóN          0          1          0          0          0          0          
CURIOSO          0          0          1          0          0          0          
CURSO          0          1          0          0          0          0          
CUSTODIA          0          0          1          1          0          0          
CUSTODIáNDOLA          0          0          0          1          0          0          
CáMARA          0          1          0          0          0          0          
CíRCULO          0          0          0          0          1          0          
CíRDAN          0          0          0          0          0          1          
DA          0          0          0          0          1          1          
DAR          0          1          0          0          0          0          
DARLE          0          0          1          0          0          0          
DARSE          0          0          0          0          0          1          
DE          1          1          1          1          1          1          
DEBATIRSE          0          0          0          1          0          0          
DEBIDO          1          1          0          1          1          1          
DEBíA          0          1          0          0          0          0          
DEBíAN          0          0          0          0          1          0          
DECIDE          0          0          0          1          1          0          
DECIDEN          1          0          1          1          1          0          
DECIDIERON          0          1          0          0          0          0          
DECIDIR          0          1          0          0          0          0          
DECIDIRíA          0          1          0          0          0          0          
DECIDIRíAN          1          0          0          0          0          0          
DECISIóN          1          0          0          0          0          0          
DEDO          0          0          0          0          0          1          
DEFENDER          0          0          1          0          0          0          
DEFENDERSE          1          0          0          0          0          0          
DEFENSA          0          1          1          0          0          0          
DEFINIR          0          0          1          0          0          0          
DEFRAUDADA          0          0          0          1          0          0          
DEJA          0          0          0          1          0          1          
DEJADO          0          0          0          0          0          1          
DEJANDO          0          0          1          0          0          0          
DEJAR          1          0          0          0          0          0          
DEJARLE          0          0          1          0          0          0          
DEL          1          1          1          1          1          1          
DELAGUA          0          0          0          0          0          1          
DEMANDABA          0          0          0          0          1          0          
DEMáS          0          1          0          0          0          0          
DENETHOR          0          0          0          0          1          0          
DENTRO          0          1          1          0          0          0          
DERNHELM          0          0          0          0          1          0          
DERRIBADA          0          0          0          0          1          0          
DERROTADO          0          0          0          0          0          1          
DERROTAN          0          0          1          0          0          1          
DERROTANDO          0          0          0          0          0          1          
DERROTAR          0          1          1          0          0          0          
DERROTARON          0          0          1          0          0          0          
DESAFORTUNADA          0          0          1          0          0          0          
DESAPARECE          0          0          0          1          0          0          
DESAPARECER          0          0          0          1          0          0          
DESAPARECIó          1          0          0          0          0          0          
DESASTRE          1          0          0          0          0          0          
DESATANDO          0          0          0          1          0          0          
DESAYUNO          0          0          1          0          0          0          
DESCANSANDO          0          1          0          0          0          0          
DESCARGA          0          0          0          0          1          0          
DESCENDER          0          0          0          1          0          0          
DESCONCIERTO          0          0          0          0          0          1          
DESCUBIERTO          1          0          0          0          0          0          
DESCUBIERTOS          0          0          0          1          0          0          
DESCUBRE          0          0          1          0          0          0          
DESCUBREN          0          0          0          1          0          0          
DESCUBRIR          0          0          0          1          0          0          
DESCUIDO          0          0          0          1          0          0          
DESDE          0          0          1          1          1          0          
DESEANDO          0          1          0          0          0          0          
DESEO          1          0          0          0          0          0          
DESFILADERO          0          0          0          1          0          0          
DESHECHO          0          0          0          0          0          1          
DESPEDIDA          0          0          0          0          0          1          
DESPERTó          0          1          0          0          0          1          
DESPIERTAN          0          0          0          0          0          1          
DESPUéS          1          1          0          0          0          1          
DESTINO          1          0          0          0          0          1          
DESTRUIDO          0          1          0          0          0          0          
DESTRUYERA          0          1          0          0          0          0          
DESTRUYERON          0          0          1          0          0          0          
DESTRUYéNDOSE          0          0          0          0          0          1          
DESVIAR          0          0          0          0          1          0          
DETENER          0          0          0          0          1          0          
DEUDA          0          0          0          0          1          0          
DICHO          0          0          0          0          1          0          
DIERON          0          1          0          0          0          0          
DIO          0          1          0          0          0          0          
DIRIGEN          0          0          1          0          1          0          
DIRIGIERON          0          0          0          0          0          1          
DIRIGíA          0          0          0          0          1          0          
DIRIGíAN          0          0          0          0          0          1          
