          libro1          libro2          libro3          libro4          libro5          libro6
MALHERIDA          0          0          0          1          0          0          
MALHERIDO          0          0          0          0          1          0          
MALIGNA          0          0          1          0          0          0          
MALLA          0          0          0          0          0          1          
MANO          0          0          1          0          0          1          
MANOS          0          0          1          0          0          0          
MANTENER          0          0          1          0          0          0          
MARCHA          0          0          0          1          0          1          
MARCHABAN          0          0          0          1          0          0          
MARCHARSE          0          0          0          0          0          1          
MARCHó          0          0          0          0          0          1          
MARISCAL          0          0          1          0          0          0          
MATAR          0          0          0          0          0          1          
MATáNDOSE          0          0          0          0          0          1          
MAZARBUL          0          1          0          0          0          0          
MEDIA          0          1          0          0          0          0          
MEDIO          0          0          1          0          0          1          
MEDUSELD          0          0          1          0          0          0          
MEJOR          0          0          1          0          0          0          
MENOS          0          0          1          1          0          0          
MERRY          1          1          1          0          1          1          
MES          0          1          0          0          0          1          
MESES          0          1          0          0          0          0          
METROS          0          0          0          1          0          0          
MIEMBROS          0          1          0          0          0          1          
MIENTRAS          0          1          1          1          1          1          
MIL          0          0          0          0          1          0          
MILLAS          0          0          0          0          1          0          
MINAS          0          1          1          1          1          1          
MIRA          0          0          1          0          0          0          
MIRADA          0          0          1          0          0          0          
MISIóN          0          0          0          1          1          0          
MISMO          1          0          0          0          0          0          
MISTERIOSO          1          0          0          0          0          0          
MITAD          0          0          0          0          0          1          
MITHRIL          0          0          0          0          0          1          
MOMENTO          0          0          1          0          1          1          
MOMENTOS          0          0          0          0          0          1          
MONSTRUO          0          1          0          0          0          0          
MONTADO          1          0          0          0          0          0          
MONTARACES          0          0          0          1          1          0          
MONTAñA          0          1          0          0          0          1          
MONTAñAS          0          1          0          0          0          0          
MONTE          0          0          0          0          0          1          
MONTó          0          0          0          0          1          0          
MORDISCO          0          0          0          0          0          1          
MORDOR          0          1          0          1          1          0          
MORGAI;          0          0          0          1          0          0          
MORGUL          0          0          0          1          0          0          
MORIA          0          1          0          1          0          0          
MORIBUNDO          0          0          0          0          1          0          
MORTUORIA          0          0          0          0          1          0          
MOSTRAR          0          0          0          0          1          0          
MOTIVO          1          0          0          1          0          0          
MOVILIZACIóN          0          0          0          0          1          0          
MUCHOS          1          0          0          0          0          0          
MUERE          0          0          1          0          1          0          
MUERTE          0          1          0          1          1          1          
MUERTO          0          0          0          1          0          1          
MUERTOS          0          0          0          1          1          0          
MUIL          0          0          0          1          0          0          
MUNDO          0          0          1          0          0          0          
MURIENDO          0          0          0          0          0          1          
MáGICO          1          0          0          0          0          0          
MáS          0          1          1          0          1          1          
NARRABA          0          1          0          0          0          0          
NARRACIóN          0          0          1          0          0          0          
NAUR          0          0          0          0          0          1          
NAZGûL          1          1          0          0          1          1          
NECESIDAD          0          0          0          0          1          0          
NEGABA          1          0          0          0          0          0          
NEGARON          0          0          0          0          0          1          
NEGARSE          0          0          0          0          1          1          
NEGATIVA          0          1          0          0          0          0          
NEGRA          0          0          0          1          1          1          
NEGRO          0          1          0          0          1          0          
NIEBLA          1          0          0          0          0          0          
NIEGA          0          0          1          0          0          0          
NO          1          1          1          1          1          0          
NOB          1          0          0          0          0          0          
NOCHE          1          0          0          0          0          0          
NOMBRADO          0          0          0          0          0          1          
NORTE          0          0          0          0          1          0          
NOTICIA          1          0          0          0          0          0          
NOTICIAS          0          0          1          0          0          0          
NUBE          0          0          0          0          1          0          
NUBLADAS          0          1          0          0          0          0          
NUEVO          1          1          0          0          0          1          
NUMEROSOS          0          1          0          0          0          0          
OBJETO          0          0          1          1          0          0          
OBLIGA          0          0          1          1          0          0          
OBLIGADA          0          1          0          0          0          0          
OBLIGADO          0          0          0          0          1          0          
OBRA          1          0          0          0          0          0          
OBRAS          0          0          0          0          0          1          
OBSERVANDO          0          0          0          0          1          0          
OBSESIONADA          0          0          0          1          0          0          
OBSTANTE          0          0          0          0          1          0          
OCASIONANDO          1          0          0          0          0          0          
OCULTA          0          0          0          0          1          0          
OCULTO          0          0          0          1          0          0          
OCULTáNDOLE          0          0          0          0          1          0          
OCURRIDO          0          1          0          0          0          0          
OCURRIDOS          0          1          0          0          1          0          
OCURRIR          0          0          0          1          0          0          
OESTE          0          1          1          0          0          1          
OFRECIéNDOLE          0          0          0          0          1          0          
OFRECIó          0          1          0          0          0          0          
OJOS          0          0          0          1          0          0          
OPONENTE          0          0          1          0          0          0          
OPORTUNA          0          0          1          0          0          0          
OPORTUNIDAD          0          0          1          0          0          0          
ORCOS          0          1          1          1          1          1          
ORCOS)          0          0          1          0          0          0          
ORDENA          1          0          0          0          0          0          
ORDENó          0          1          0          0          0          0          
ORILLA          0          1          0          0          0          0          
ORILLAS          0          1          0          0          0          0          
ORODRUIN          0          1          0          0          0          1          
ORTHANC          0          0          1          0          0          1          
OSCURO          1          0          0          0          0          0          
OSCURO»          0          0          1          0          0          0          
OTRA          0          1          1          0          0          0          
OTRO          0          0          1          0          0          0          
OTROS          1          0          0          0          0          1          
OYE          0          0          0          1          0          0          
OíRSE          0          1          0          0          0          0          
PAGO          0          0          0          0          1          0          
PALANTIR          0          0          1          0          0          0          
PARA          1          1          1          1          1          1          
PARADA          1          0          0          0          0          0          
PARECIDO          0          1          0          0          0          0          
PARTE          1          0          1          0          1          1          
PARTEN          1          0          1          1          1          1          
PARTES:          0          0          1          0          0          0          
PARTH          0          1          1          0          1          0          
PARTIDA          1          0          0          0          0          0          
PARTIENDO          0          0          0          0          1          0          
PARTIR          0          0          1          0          1          0          
PARTIó          1          1          0          0          0          0          
PASADA          0          0          0          0          0          1          
PASADO          0          0          0          0          1          0          
PASANDO          0          1          0          0          0          0          
PASAR          1          1          0          0          0          0          
PASO          0          1          0          1          0          1          
PAZ          1          0          0          0          0          0          
PEDIR          0          1          0          0          0          0          
PELARGIR          0          0          0          0          1          0          
PELENNOR          0          0          0          0          1          0          
PELIGRO          0          1          1          0          0          0          
PENETRABA          0          0          0          0          1          0          
PENSANDO          0          0          1          0          0          0          
PEQUEñA          1          0          0          0          0          0          
PERDIDO          1          0          0          0          0          0          
PERDIDOS          1          0          0          0          0          0          
PERECIDO          0          0          1          0          0          0          
PERIPECIAS          0          0          1          0          0          0          
PERMITIERAN          0          0          0          1          0          0          
PERO          1          1          1          1          0          1          
PERSECUCIóN          0          0          1          0          0          0          
PERSEGUIDOS          1          0          0          0          0          0          
PERSEGUIRLES          0          0          1          0          0          0          
PERSIGUEN          1          0          0          0          0          0          
PERSONAJE          1          0          0          0          0          0          
PERSONALIDAD          0          0          0          1          0          0          
PESAR          0          1          0          0          0          0          
PESO          0          0          0          0          0          1          
PICADO          0          0          0          1          0          0          
PIES          0          1          0          0          0          1          
PIPPIN          1          1          1          0          1          1          
PIRA          0          0          0          0          1          0          
PISADOR»          1          0          0          0          0          0          
PLAN          1          0          0          0          0          0          
PLANEANDO          0          0          0          1          0          0          
POCO          0          1          0          0          0          1          
PODER          1          0          0          0          0          0          
PODEROSO          0          1          0          0          0          0          
PONE          1          0          0          0          0          1          
PONEN          0          0          0          1          0          0          
PONER          0          1          0          0          0          0          
PONERLO          0          0          1          0          0          0          
POR          1          1          1          1          1          1          
POSADA          1          0          0          0          0          0          
POSIBLE          0          1          0          0          0          0          
PRADOS          0          1          0          0          0          0          
PRECIPITACIóN          0          0          1          0          0          0          
PREFIJADA          0          0          1          0          0          0          
PREPARAN          0          0          1          0          0          0          
PREPARAR          0          0          1          1          0          0          
PRESENCIA          0          0          0          1          0          0          
PRESENCIAR          0          0          0          0          1          0          
PRESENTAN          0          0          0          0          1          0          
PRESO          0          1          0          0          0          0          
PRETEXTO          1          0          0          0          0          0          
PREVIO          0          0          1          0          0          0          
PREVISTO          0          0          0          0          0          1          
PRIMERA          0          0          1          0          0          0          
PRIMERO          0          0          0          1          0          1          
PRINCIPAL          1          0          0          0          0          0          
PROBLEMA          0          0          0          0          1          0          
PRODUCE          0          0          1          0          0          0          
PRODUCIDO          0          0          0          0          0          1          
PRODUCTO          1          0          0          0          0          0          
PRONUNCIADO          1          0          0          0          0          0          
PROTEGERLOS          0          1          0          0          0          0          
PROTEGíA          0          0          1          0          0          0          
PRíNCIPE          0          1          0          0          0          0          
PUDIERAN          1          0          0          0          0          0          
PUEBLO          0          1          0          0          0          0          
PUEBLOS          0          1          0          0          0          0          
PUEDA          0          0          0          0          1          0          
PUEDEN          0          0          0          0          1          0          
PUENTE          0          1          0          0          0          0          
PUENTE;          0          1          0          0          0          0          
PUERTA          0          1          0          1          1          1          
PUERTAS          0          0          1          0          0          0          
PUERTO          0          0          0          0          1          0          
PUERTOS          0          0          0          0          0          1          
PUESTO          0          0          1          0          1          0          
PUSIERON          0          0          0          0          0          1          
PUSO          1          1          0          0          0          0          
PóNEY          1          0          0          0          0          0          
QUE          1          1          1          1          1          1          
QUEBRADAS          1          0          0          0          0          0          
QUEDADO          1          0          0          0          0          0          
QUEDAN          0          0          0          0          1          0          
QUEDANDO          0          0          1          0          0          0          
QUEDARON          1          0          0          0          0          0          
QUEDó          0          0          1          0          0          0          
QUEMADOS          0          0          0          0          1          0          
QUERíA          0          1          0          0          0          0          
QUIEN          1          1          1          0          1          1          
QUINTO          0          0          0          0          1          0          
QUITARLE          0          1          0          0          0          0          
QUITáNDOSELO          0          0          1          0          0          0          
QUé          0          0          0          1          0          0          
RAMMAS          0          0          0          0          1          0          
RATH          0          0          0          0          1          0          
RAZA          0          0          0          0          1          0          
REAPARECE          0          0          0          0          0          1          
RECHAZARLOS          0          1          0          0          0          0          
RECIBE          0          0          0          0          1          0          
RECIBIDOS          0          0          1          0          0          0          
RECIBIR          0          0          0          0          0          1          
RECONSTRUCCIóN          0          0          0          0          0          1          
RECORRIDO          0          0          0          1          0          0          
RECTA»          0          0          0          1          0          0          
RECUPERADO          0          0          0          0          0          1          
RECUPERARSE          0          0          0          0          0          1          
REENCONTRARSE          0          0          1          0          0          0          
REENCONTRó          0          0          0          0          0          1          
REENCUENTRO          0          0          1          0          0          0          
REFLEXIONAR          0          1          0          0          0          0          
REFUGIARSE          0          0          1          0          0          0          
REGIóN          0          0          0          0          1          0          
REGRESA          1          0          0          0          1          0          
REGRESO          0          0          0          0          0          1          
REGRESó          0          1          0          0          0          0          
REINO          0          0          1          1          0          0          
RELATAN          0          0          1          0          0          0          
REMATAR          0          0          0          0          1          0          
REPLEGARSE          0          0          1          0          0          0          
REPLIEGUE          0          0          1          0          0          0          
REPONERSE          0          0          1          0          0          0          
REPRESENTA          0          0          1          0          0          0          
REPRESENTANTES          0          1          0          0          0          0          
RESCATADOS          0          0          0          0          0          1          
RESCATAR          0          0          1          1          1          0          
RESCATE          0          0          0          0          0          1          
RESCATEN          0          0          1          0          0          0          
RESISTENCIA          0          0          0          0          1          0          
RESTO          1          1          0          1          0          0          
RETIRARSE          0          0          0          0          1          0          
RETRACTARA          0          0          1          0          0          0          
RETROCEDER          0          0          0          0          1          0          
RETUVO          0          1          0          0          0          0          
REUNIRSE          1          0          0          0          0          0          
REVELA          0          0          1          0          1          0          
REVELó          0          1          0          0          0          0          
REY          1          0          1          1          1          1          
REúNE          0          0          0          0          1          0          
RIVENDEL          1          1          0          0          0          1          
ROHAN          0          1          1          0          1          1          
ROHIRRIM          0          0          1          0          1          0          
ROJA          0          0          0          0          1          0          
ROJO          0          0          0          0          0          1          
ROMPIERON          0          0          0          0          1          0          
ROPAJES          0          0          0          0          1          1          
ROPAS          0          0          1          0          0          0          
RUMBO          0          0          0          0          0          1          
RíO          1          1          0          0          1          0          
SABER          0          0          1          0          0          0          
SABIOS          1          0          0          0          0          0          
SABíA          1          0          0          0          0          0          
SAGRARIO          0          0          0          0          1          0          
SALE          0          0          0          0          1          0          
SALIDA          0          0          0          1          0          0          
SALIDA;          0          0          0          1          0          0          
SALIENDO          0          0          0          0          1          0          
SALIERON          0          1          0          0          0          0          
SALIR          1          0          0          1          0          0          
SALVA          1          0          0          0          0          0          
SALVADOS          1          0          0          0          0          0          
SALVARSE          1          0          0          0          0          0          
SALVO          0          0          1          0          0          0          
SAM          0          1          1          1          0          1          
SAMMATH          0          0          0          0          0          1          
SAMSAGAZ          1          0          0          0          0          0          
SANEAMIENTO          0          0          0          0          0          1          
SARN          0          1          0          0          0          0          
SARUMAN          0          1          1          0          0          1          
SAURON          1          1          1          1          1          1          
SE          1          1          1          1          1          1          
SEGUIR          0          0          1          0          0          0          
SEGUNDO          0          0          1          0          0          0          
SEGUíA          0          1          0          0          0          0          
SEGUíAN          0          0          0          0          0          1          
SEGúN          0          0          0          0          1          0          
SEIS          0          0          0          0          1          0          
SENDERO          0          0          0          0          1          1          
SENESCAL          0          0          0          0          1          1          
SENESCALES          0          0          0          0          1          0          
SENESCALíA          0          1          0          0          0          0          
SENTADOS          0          0          1          0          0          0          
SEPARACIóN          0          0          1          1          0          0          
SER          0          1          0          0          0          0          
SERPIENTE          0          0          0          0          0          1          
SERVICIOS          0          0          0          0          1          0          
SERVIDORES          1          0          0          0          0          0          
SERíA          0          0          0          0          1          0          
SEXTO          0          0          0          0          1          0          
SEñAL          0          0          0          0          1          0          
SEñALES          0          0          1          0          0          0          
SEñOR          1          1          0          0          0          0          
SEñORES          0          1          0          0          0          0          
SI          0          1          0          0          0          0          
SIDO          1          1          0          0          1          1          
SIENDO          1          0          0          1          0          1          
SIENTA          0          0          0          1          0          0          
SIGUIENDO          0          1          0          0          0          0          
SIGUIENTE          1          0          0          0          0          0          
SIGUIERA          0          1          0          0          0          0          
SIGUIéNDOLOS          0          0          0          1          0          0          
SIGUIó          0          1          0          0          0          0          
SIN          1          1          1          1          0          1          
SINO          0          0          0          1          0          0          
SIRVIENTE          0          0          1          0          0          0          
SIRVIENTES          0          0          1          0          0          0          
SITIAR          0          0          0          0          1          0          
SITIO          0          0          0          0          1          0          
SOBRE          1          1          1          1          1          1          
SOBRINA          0          0          0          0          1          0          
SOBRINO          1          0          0          0          0          0          
SOL          0          0          0          0          1          0          
SOLO          0          1          0          1          0          1          
SOMBRA          0          0          0          0          1          0          
SOMBRAGRíS          0          0          0          0          1          0          
SON          1          0          1          1          0          1          
SORPRENDIDOS          1          0          0          0          1          0          
SORPRESA          0          0          1          0          0          0          
SU          1          1          1          1          1          1          
SUCESOS          0          0          0          0          1          0          
SUFRIENDO          0          0          1          0          0          0          
SUMAN          0          0          0          0          1          0          
SUPONDRíA          0          0          0          0          1          0          
SUPONíA          0          0          0          1          0          0          
SUR          0          0          0          0          1          0          
SUS          1          1          1          0          1          1          
Sí          0          0          0          1          0          0          
SíNTOMAS          0          0          0          0          1          0          
SûL          1          0          0          0          0          0          
TAL          0          0          0          0          0          1          
TAMAñO          0          0          0          0          1          0          
TAMBIéN          1          1          0          1          1          0          
TAMBORES          0          1          0          0          0          0          
TANTO          0          0          0          1          1          1          
TARDE          0          1          1          0          0          1          
TEMA          0          1          0          0          0          0          
TENDóN          0          0          0          0          1          0          
TENER          0          0          1          0          0          0          
TENíA          1          0          0          0          0          0          
TERMINA          0          0          0          0          1          1          
TERMINAN          0          0          0          0          1          0          
TERMINAR          1          0          0          0          0          0          
TERRENO          0          0          0          1          0          0          
TERRITORIO          0          0          1          0          0          0          
TESORO          0          0          0          0          0          1          
THéODEN          0          0          1          0          1          1          
TIEMPO          0          1          0          0          0          0          
TIENDE          1          0          0          0          0          0          
TIERRA          0          1          0          0          0          0          
TIERRAS          0          0          0          0          0          1          
TIRITH          0          1          1          1          1          1          
TODA          0          0          0          0          1          0          
TODAS          0          0          1          0          0          1          
TODO          0          1          0          0          0          1          
TODOS          0          1          1          0          0          0          
TOM          1          0          0          0          0          1          
TOMA          0          0          1          0          1          0          
TOMADA          0          0          0          0          0          1          
TOMADO          0          0          0          0          1          0          
TOMAR          0          0          0          1          1          0          
TOMARON          0          0          0          0          1          1          
TOMó          0          0          0          0          1          0          
TOQUE          1          0          0          0          0          0          
TORECH          0          0          0          1          0          0          
TORRE          0          0          1          1          0          0          
TORTURA          0          0          1          0          0          0          
TRABA          0          0          0          0          1          0          
TRAE          0          0          0          0          1          0          
TRAICIONADA          0          0          0          1          0          0          
TRAICIóN          0          1          0          1          0          0          
TRAMPA;          1          0          0          0          0          0          
TRANQUILIDAD          1          0          0          0          0          0          
TRANSMITEN          0          0          0          0          1          0          
TRAS          1          1          1          1          1          1          
TRATA          0          0          1          0          0          0          
TRATABA          1          0          1          0          0          0          
TRATAR          0          0          0          0          1          0          
TRATARíAN          0          1          0          0          0          0          
TRATó          0          1          0          0          0          0          
TRAVéS          0          0          1          0          0          0          
TRAZA          1          0          0          0          0          0          
TREINTENA          0          0          1          0          0          0          
TREPAR          0          0          0          0          0          1          
TRES          0          1          1          0          0          0          
TROPA          0          0          0          0          0          1          
TROPAS          0          0          0          1          1          0          
TUMBA          0          1          0          0          0          0          
TUMULARIAS          1          0          0          0          0          0          
TUMULARIOS          1          0          0          0          0          0          
TUVO          1          0          0          0          0          1          
TúMULOS          1          0          0          0          0          0          
UCORNO          1          0          0          0          0          0          
UCORNOS          0          0          1          0          0          0          
UMBAR          0          0          0          0          1          0          
UN          1          1          1          1          1          1          
UNA          1          1          1          1          1          1          
UNAS          1          0          0          0          0          0          
UNGOL          0          0          0          1          0          1          
UNIóN          0          0          0          0          0          1          
UNOS          1          1          0          1          0          0          
URUK-HAI          0          0          1          0          0          0          
USADO          0          1          0          1          0          0          
VA          0          0          1          0          0          1          
VADO          1          0          0          0          0          0          
VADOS          0          0          0          0          1          0          
VAGANDO          0          0          0          1          0          0          
VALLE          0          0          0          1          0          0          
VAN          0          0          1          0          0          0          
VARIAS          0          0          1          1          0          0          
VARIOS          0          0          0          1          1          0          
VE          0          0          0          1          0          0          
VECES          0          0          0          1          0          0          
VEINTE          1          0          0          0          0          0          
VELOZ          0          0          0          0          1          0          
VEN          0          0          0          0          1          0          
VENCER          0          0          1          0          0          0          
VENENO          0          0          0          1          0          0          
VER          0          0          0          1          0          0          
VERDADERA          0          0          0          0          1          0          
VEZ          1          0          1          0          1          1          
VIAJAN          0          0          0          0          0          1          
VIAJE          1          1          0          1          1          1          
VIAJEROS          0          0          0          1          0          0          
VICTORIA          0          0          0          0          1          0          
VIEJO          1          0          0          0          0          1          
VIGILADO          0          0          0          1          0          0          
VIO          0          1          0          0          1          0          
VISIONES          0          0          1          0          0          0          
VISITA          0          0          0          0          1          0          
VISITAR          0          0          0          0          0          1          
VIVIDAS          0          0          1          0          0          0          
VIVIR          1          0          0          0          0          0          
VOLTEA          0          0          0          0          1          0          
VOLUNTAD          0          0          0          0          0          1          
VUELTA          0          1          0          0          1          0          
VUELVA          0          0          0          1          0          0          
VUELVE          0          0          0          1          1          0          
Y          1          1          1          1          1          1          
YA          1          1          0          0          1          0          
YELMO          0          0          0          0          1          0          
YENDO          0          0          0          1          0          0          
«EL          1          0          0          0          0          0          
«ESCALERA          0          0          0          1          0          0          
«SEñOR          0          0          1          0          0          0          
ÉOMER          0          0          1          0          1          1          
ÉORED          0          0          1          0          0          0          
ÉOWYN          0          0          0          0          1          1          
ÉSTE          0          0          1          0          0          0          
ÊNICO          1          0          0          1          0          0          
áGUILAS          0          0          0          0          0          1          
éL          1          1          1          1          1          1          
éLFICAS          0          1          0          0          0          0          
éSTE          0          1          0          0          0          1          
éSTOS          0          0          0          0          1          0          
óRDENES          0          0          0          0          0          1          
úLTIMO          1          0          0          0          0          1          
úLTIMOS          0          0          1          0          0          0          
